name,type,etc,etc2,longitude,latitude,joindate,outdate
팔각정,쉼터,229497.78,609097.39,127.3362133,38.08147958,01/05/2016 11:50:00 AM,12/21/2015 09:04:00 PM
팔각정,쉼터,229497.78,609097.39,127.3362133,38.08147958,12/21/2015 09:04:00 PM,
팔각정,쉼터,229497.78,609097.39,127.3362133,38.08147958,12/30/2015 10:07:57 AM,
팔각정,쉼터,229497.78,609097.39,127.3362133,38.08147958,12/24/2015 08:35:00 AM,
종합표지판,안내판,239701.38,598720.31,127.4519354,37.98760263,01/05/2016 09:31:00 AM,
만남의쉼터,쉼터,238360.28,520062.78,127.4325422,37.27898764,12/23/2015 05:17:45 PM,12/31/2015 11:03:07 AM
쉼터,쉼터,192109.85,529249.01,126.9109336,37.36251536,12/30/2015 12:56:00 PM,
종합안내판,안내판,243325.45,554541.61,127.4905499,37.58941831,01/04/2016 08:20:00 AM,
종합안내도,안내판,243325.45,554541.61,127.4905499,37.58941831,12/29/2015 01:02:00 PM,
이정표,안내판,240021.98,574289.88,127.4542312,37.76748996,12/28/2015 11:20:00 AM,
이정표,안내판,240252.63,573930.94,127.456829,37.76424602,12/21/2015 10:11:00 AM,
이정표,안내판,241108.06,572978.57,127.4664831,37.75562774,12/30/2015 10:22:00 AM,
이정표.분기,안내판,241306.49,572557.35,127.4687108,37.75182388,12/31/2015 11:03:07 AM,
이정표,안내판,241440.88,572491.07,127.4702319,37.75122066,12/30/2015 08:07:00 PM,01/04/2016 12:16:00 PM
이정표,안내판,241698.01,572358.07,127.4731419,37.75001074,01/04/2016 12:16:00 PM,
이정표.분기,안내판,241396.6,571897.91,127.4696957,37.74587867,12/21/2015 08:49:44 PM,
이정표.분기,안내판,241124.65,571623.41,127.4665947,37.74341784,12/21/2015 09:58:00 AM,
이정표,안내판,241031.6,571458.66,127.4655297,37.74193772,01/05/2016 09:05:00 AM,
이정표,안내판,240757.45,571159.63,127.4624026,37.73925588,12/30/2015 10:31:00 AM,
이정표,안내판,240329.54,570862.5,127.4575315,37.73659786,12/28/2015 09:36:00 AM,12/30/2015 10:31:00 AM
이정표,안내판,240164.01,570678.66,127.4556435,37.73494885,01/03/2016 05:57:00 PM,
이정표,안내판,239712.71,570283.88,127.4505023,37.73141178,12/22/2015 12:42:40 PM,
이정표,안내판,239318.41,570077.22,127.4460183,37.7295669,12/21/2015 03:33:00 PM,
이정표,안내판,239128.96,570132.16,127.4438723,37.73006999,12/28/2015 07:12:00 PM,
이정표,안내판,238639.22,570118.41,127.4383162,37.7299669,12/29/2015 10:36:00 AM,
이정표,안내판,238252.63,569990.97,127.4339242,37.72883496,01/05/2016 10:01:00 AM,
이정표.훼손지,안내판,238032.02,570056.44,127.4314251,37.72943399,12/21/2015 12:49:00 PM,
이정표,안내판,241573.7,571455.47,127.4716798,37.74188453,12/28/2015 11:06:00 AM,01/01/2016 04:15:00 PM
이정표,안내판,239095.66,571684.82,127.443578,37.74405999,01/01/2016 04:15:00 PM,
이정표,안내판,239189.94,570417.82,127.4445794,37.73264102,12/22/2015 01:24:39 PM,
이정표,안내판,239851.63,569443.88,127.4520322,37.72383783,12/24/2015 09:22:51 AM,
안내판,안내판,239545.33,569834.32,127.4485792,37.72736874,01/05/2016 09:37:00 AM,
안내판,안내판,237915.85,570378.57,127.4301242,37.73234102,12/28/2015 06:03:38 PM,
위험지역,안내판,240303.95,570794.78,127.4572375,37.73598887,12/30/2015 11:18:52 AM,
이정표설치요,안내판,241660.54,572080.94,127.4727008,37.74751568,12/26/2015 04:06:00 PM,
이정표설치요,안내판,240415.01,570888.44,127.4585026,37.7368278,12/30/2015 10:26:00 AM,
이정표설치요,안내판,239159.49,571264.91,127.4442796,37.74027412,12/23/2015 10:07:04 AM,
산림욕장,쉼터,227007.43,521621.82,127.3045885,37.29343353,01/05/2016 02:42:00 PM,
이정표,안내판,227636.48,572651.45,127.3136014,37.75318646,01/04/2016 08:38:00 PM,
